sentence,label,class
funny bra,neither,0
actor funny bracelet,neither,0
arvind verma,neither,0
omere,neither,0
omerested,neither,0
omeres,neither,0
akshay program able,neither,0
akshay program able stop one day,neither,0
akshay program pro able,neither,0
surprise,neither,0
guy,neither,0
aam question,neither,0
jai hind,neither,0
need jay hind,neither,0
bro met,neither,0
bro scan,neither,0
baby insane,neither,0
way even get black,neither,0
even get black,neither,0
oh wow,neither,0
move career wow,neither,0
yo move cat wow,neither,0
oh,neither,0
hi buddy,neither,0
buddy,neither,0
hi buddy oh god,neither,0
thanks mr deep office,neither,0
thanks mr office,neither,0
thanks deep office,neither,0
thanks mr deep office,neither,0
thanks mr deep,neither,0
murda kya,neither,0
fortress shares would retirement,neither,0
fortress others would retirement,neither,0
fortress shares would retire,neither,0
fortress shares would retirement,neither,0
fortress others would retire,neither,0
bro,neither,0
,neither,0
bro,neither,0
sleep well,neither,0
oh yes,neither,0
cheese price oh yes,neither,0
oh yeah,neither,0
oh yes hd,neither,0
lord miss strong holes precious like middle somebody like like way maybe,neither,0
oh god games,neither,0
hello everybody bow man,neither,0
hello everybody man,neither,0
hello everybody man,neither,0
sad like man another like software,neither,0
man another like software,neither,0
really sad like man another like software,neither,0
man another like software,neither,0
sad like,neither,0
like,neither,0
juice python,neither,0
sponge,neither,0
,neither,0
sponge,neither,0
sponge,neither,0
spoken,neither,0
spoken,neither,0
wow spoken,neither,0
bass buses spoke courses president,neither,0
buses spoke courses war president,neither,0
hope die,neither,0
hope,neither,0
absolute kamas,neither,0
spots hello,neither,0
hello minecraft,neither,0
better,neither,0
hello next option,neither,0
reverse riddle,neither,0
car absolution,neither,0
ore gas together,neither,0
ore together,neither,0
ore gas together,neither,0
gas together,neither,0
water water water aaj,neither,0
cap always capri chat mum,neither,0
cap always capri chat mom,neither,0
cap always capri professional speeders chat mum,neither,0
cap always capri professional speeders chat mom,neither,0
cab always cabri chat mum,neither,0
another village thank,neither,0
another village,neither,0
switched another village thank,neither,0
non stop another village thank,neither,0
furnace,neither,0
furtes,neither,0
furna,neither,0
,neither,0
han kya,neither,0
han kya ho,neither,0
han list,neither,0
han list kya,neither,0
bravo hey,neither,0
bra bravo,neither,0
bravo hey ram bro,neither,0
im going,neither,0
im going abra,neither,0
im going agra,neither,0
nothing fine,neither,0
nothing,neither,0
fine,neither,0
nothing done,neither,0
cross definition,neither,0
use bus mein get cross definition,neither,0
get cross definition,neither,0
use bus get cross definition,neither,0
oh okay,neither,0
people baby bro,neither,0
baby people baby bro,neither,0
baby baby baby bro,neither,0
baby baby bro,neither,0
baby people baby,neither,0
bronze poonded oh god midding gravity bronze film,neither,0
bronze poonded oh god morning grover branch,neither,0
oh god midding gravity,neither,0
agar aap roda,neither,0
oh agar aap roda,neither,0
oh baby agar aap roda,neither,0
call bro get,neither,0
get,neither,0
osis darling,neither,0
study mercy farming food months,neither,0
narayan food,neither,0
narayan food,neither,0
action american,neither,0
actually dont remember,neither,0
run sun came badan,neither,0
run sun came badnaman,neither,0
run sun came badan,neither,0
run sun came badnaman,neither,0
run sun escape badan,neither,0
oh yeah right,neither,0
news read happened,neither,0
news reading reading,neither,0
news happened,neither,0
uncancies news read happened,neither,0
newsing reading,neither,0
raj tomorrow,neither,0
raj tomorrow,neither,0
watch come funny,neither,0
kya hua,neither,0
kya baat hai,neither,0
oh bro kya hua,neither,0
weather score see weather scotch shahid,neither,0
weather score see weather scott job china temple,neither,0
reset treasure,neither,0
reset,neither,0
village village beautiful,neither,0
actually guest tomorrow,neither,0
guest tomorrow,neither,0
actually tomorrow,neither,0
actually guest tomorrow,neither,0
apps,neither,0
channel apps,neither,0
looks like apps,neither,0
channel looks like apps,neither,0
looks,neither,0
oh died,neither,0
died 143,neither,0
jamia michael jackson,neither,0
michael jackson,neither,0
imran sir getting exist,neither,0
imran sir getting exist,neither,0
sir getting exist,neither,0
money run sir getting exist,neither,0
run sir getting exist,neither,0
know,neither,0
,neither,0
mean,neither,0
timing know mean stable,neither,0
know mean stable,neither,0
yeah spa,neither,0
spare little alliance,neither,0
graph piece spare little alliance,neither,0
graph piece,neither,0
back way directions,neither,0
back way directionss like,neither,0
back way direction,neither,0
okay actually stay,neither,0
ok actually stay,neither,0
never find best home,neither,0
find best home,neither,0
need half trading assam,neither,0
need half trade assam,neither,0
need half trading assam,neither,0
need half trading,neither,0
might reading song,neither,0
sports star maybe link,neither,0
sports star may maybe link,neither,0
maybe link,neither,0
sports stars pb maybe link,neither,0
sports star may may maybe link,neither,0
action bro pushpak kapoor,neither,0
pushpak kapoor welcome,neither,0
oh kept name oh god almost absolute incident,neither,0
oh see name oh god almost absolute incident,neither,0
happen,neither,0
voice happen,neither,0
voice happen,neither,0
hey voice happen,neither,0
one bed,neither,0
wow really,neither,0
cant wow,neither,0
oh god dragon,neither,0
oh god calendar,neither,0
630 accident,neither,0
630 accident,neither,0
burj khalifa,neither,0
mary right wrong,neither,0
marina wrong,neither,0
mary right wrong,neither,0
ride,neither,0
make word,neither,0
ride make word,neither,0
thank password,neither,0
password winner,neither,0
mau gyaniyon,neither,0
mau gyani,neither,0
like app,neither,0
like app seed,neither,0
cab seed,neither,0
found trees summer park,neither,0
founder trees summer,neither,0
found trees summer,neither,0
faag holi,neither,0
aag aag,neither,0
vinod,neither,0
,neither,0
fast course 16,neither,0
fast course,neither,0
could love 10 hobby maybe take phone,neither,0
could laugh 10 hobby maybe take phone,neither,0
love 10 hobby maybe take phone,neither,0
mini baby,neither,0
imran imran mistake,neither,0
email app mistake,neither,0
imran mistake,neither,0
wife,neither,0
police catch,neither,0
police,neither,0
love,neither,0
best love,neither,0
see three,neither,0
one direction,neither,0
think yes,neither,0
come think,neither,0
think,neither,0
pusy boy,neither,0
paining keep pain keep spanner,neither,0
paining keep pain keep,neither,0
brown spoon dreams,neither,0
whatsapp brown spoon dreams,neither,0
brown spoon dreams,neither,0
brown spoon dreams ibps,neither,0
use baat bhi samajh,neither,0
gorgeous torture torture please,neither,0
gorgeous dog shed torture please,neither,0
torture torture please,neither,0
real,neither,0
,neither,0
narrio,neither,0
know,neither,0
know,neither,0
power study know,neither,0
block know,neither,0
,neither,0
anyhow inside im going inside away game,neither,0
anyhow inside im going inside away,neither,0
anyhow inside im going side game,neither,0
may care,neither,0
may care good looking,neither,0
maybe cab good looking nice,neither,0
help food provide people,neither,0
help food provide people,neither,0
food provide people,neither,0
afford help food provide people,neither,0
help know food provide people,neither,0
han han kya,neither,0
han han,neither,0
tuition think,neither,0
tuition 4 think,neither,0
pakistan,neither,0
enough pakistani,neither,0
pakistani,neither,0
pakistan youtube play fortnite,neither,0
,neither,0
food wow man,neither,0
wow man,neither,0
food man,neither,0
president,neither,0
pick president required,neither,0
pick president easy clock,neither,0
aam hd,neither,0
ill suck dude,neither,0
ill sucks deeds,neither,0
succeed,neither,0
ill sucks deed,neither,0
mp4,neither,0
mp4,neither,0
theek hai na,neither,0
weather,neither,0
weather,neither,0
whats sir music,neither,0
whats music,neither,0
whats music,neither,0
whats music,neither,0
bro,neither,0
bro always,neither,0
new fight,neither,0
new justice,neither,0
new fight,neither,0
new justice,neither,0
oriya divya,neither,0
professor gasing,neither,0
professor gas get proper,neither,0
oh jaan,neither,0
oh jaan,neither,0
oh god,neither,0
coming,neither,0
coming,neither,0
jatin bhai pakistan,neither,0
jatin bhai team iit pakistan,neither,0
jatin bhai team iit pakistan,neither,0
dont,neither,0
iphone,neither,0
,neither,0
government job,neither,0
government,neither,0
government like running,neither,0
government breakfast,neither,0
need,neither,0
happened,neither,0
happened jump,neither,0
primary baby,neither,0
baby baby,neither,0
want,neither,0
want listen,neither,0
talk,neither,0
much hey,neither,0
send much hey,neither,0
big boss,neither,0
thats,neither,0
iphone thats,neither,0
like,neither,0
okay tata,neither,0
dont know,neither,0
,neither,0
brother,neither,0
,neither,0
think,neither,0
okay,neither,0
,neither,0
okay alright,neither,0
okay alright sound,neither,0
alright alright,neither,0
curve,neither,0
roller curve okay,neither,0
curved okay,neither,0
lets say send said,neither,0
lets say send sad deal,neither,0
lets say send said girl,neither,0
dad going system,neither,0
dad nothing,neither,0
dad nothing leave like,neither,0
quick like quick reload dont find situations like like,neither,0
quick like reload dont find situations like like,neither,0
quick like reload dont find situations like like really,neither,0
need need need need need something,neither,0
description need need need need need something,neither,0
description need need need need need something,neither,0
need reload fire 30 bullets need,neither,0
need reload fire 30 bullets need fight guy,neither,0
need reload fire 30 bullets need,neither,0
image shooting,neither,0
image atmosford shooting,neither,0
image shooting,neither,0
hey request,neither,0
hey sniper equity,neither,0
know know forgive ok,neither,0
boy know know forgive ok,neither,0
boy know forgive ok,neither,0
know forgive ok,neither,0
boy forgive ok,neither,0
always one worst tower,neither,0
always one worst tower,neither,0
always one worst,neither,0
always one worst,neither,0
dont remind put ok right great,neither,0
dont really mind put ok right great,neither,0
dont really much put ok right great,neither,0
dont remind ok right great,neither,0
playing way mean way,neither,0
playing way mean way,neither,0
way mean way,neither,0
way mean way,neither,0
playing way mean way,neither,0
think,neither,0
say,neither,0
think,neither,0
playing way trailer trailer saw someone standing building looking end building,neither,0
saying playing way trailer saw someone standing building looking end building,neither,0
playing way trailer toward talking trailer saw someone standing building looking end building,neither,0
favourite things,neither,0
favourite things,neither,0
best person see favourite things,neither,0
oh thought oh thought song copy,neither,0
oh thought oh thought song go behind,neither,0
oh thought oh thought song copy hide,neither,0
improved single fire,neither,0
improved single fire,neither,0
really words single fire,neither,0
map also would see,neither,0
like saw latest youtube video also would see,neither,0
also would see,neither,0
like saw latest youtube also would see,neither,0
map also see,neither,0
qq get action people,neither,0
lets get action people,neither,0
get action people,neither,0
qq action people,neither,0
qq get action,neither,0
need,neither,0
need standard,neither,0
hate vehicle,neither,0
alright looking anybody moves anything come coming,neither,0
alright looking anybody moves anything come coming engine,neither,0
alright looking anybody moves anything come coming engine,neither,0
grocery cross,neither,0
closery shouldnt many times many times,neither,0
apply anything,neither,0
,neither,0
cannot,neither,0
apply anything,neither,0
thank,neither,0
thank thats,neither,0
thank thats,neither,0
thank okay want,neither,0
individual,neither,0
individual,neither,0
beach,neither,0
beach,neither,0
individual oh god,neither,0
siyaram space,neither,0
hear,neither,0
pubg siyaram,neither,0
wow say seven seama good morning,neither,0
say seven seama good morning,neither,0
nice nice,neither,0
get nice nice,neither,0
nice nice,neither,0
nice lining,neither,0
nothing anything,neither,0
yaad yaad basically clips work work okay,neither,0
yaad yaad basically clips work okay,neither,0
yaad yaad work okay,neither,0
oh god example,neither,0
oh god get example,neither,0
get example,neither,0
oh god whats example,neither,0
looking know 5 years old like experience,neither,0
looking aeroplane know 5 years old like experience,neither,0
looking know 5 years old like experience,neither,0
tell airport right cheapest airline ticket get,neither,0
airport right cheapest airline ticket get,neither,0
tell airport right cheapest get,neither,0
tell airport right cheapest airline ticket,neither,0
name tell airport right cheapest airline ticket get,neither,0
coming land 43 dollars actually,neither,0
coming land 43 dollars actually,neither,0
coming lund 43 dollars actually,neither,0
know reason,neither,0
crash time turn anywhere,neither,0
crash time turn one one better want anywhere,neither,0
crash time turn one anywhere,neither,0
never go way,neither,0
never go way like,neither,0
never go way,neither,0
never go way,neither,0
never talk way,neither,0
sure think nice think able move backwards wait guy try try get cobra,neither,0
sure think nice think able move backwards wait guy try try get cobra,neither,0
sure think nice think able move backwards wait guy try try get cobra,neither,0
sure think nice think able move backwards wait guy try try get someone else,neither,0
"absolutely 50,000",neither,0
absolutely 50 thousand,neither,0
"absolutely 50,000",neither,0
"yes absolutely 50,000",neither,0
"absolute 50,000",neither,0
telling like statue,neither,0
telling like statue,neither,0
maybe someone really wants person would whatever together outside,neither,0
others maybe someone really wants person would whatever together outside,neither,0
maybe someone really wants person would whatever together outside,neither,0
really protection address speaking,neither,0
really protection address,neither,0
really protection address may,neither,0
abac yeah want check reply think think might den evidence want see,neither,0
hi abac yeah want check reply think think might den evidence want see,neither,0
abac yeah want check reply think think might den evidence wall hacker want see,neither,0
hi abac yeah want check reply think think might den evidence want see,neither,0
check guy feeling,neither,0
check guys feeling,neither,0
check guy okays feeling,neither,0
average actually numbers cant take time said,neither,0
average actually numbers cant take take today time said,neither,0
average actually things cant take time said,neither,0
okay one funny line sure,neither,0
okay one funny correct line sure,neither,0
okay one funny also correct line sure,neither,0
even,neither,0
,neither,0
im,neither,0
even typing,neither,0
problem,neither,0
baby problem,neither,0
red shirt chinese guess red simple icing chinese flag,neither,0
red shirt chinese guess red simple icing chinese flag,neither,0
red shirt chinese guess red simple icing chinese,neither,0
without without,neither,0
running position,neither,0
without without,neither,0
oh,neither,0
without without good dp,neither,0
someone might bridge,neither,0
bridge,neither,0
name ch 1140 19514 another keyboard,neither,0
always mean name 1140 19514 another keyboard,neither,0
mean name ch 1140 19514 another keyboard,neither,0
watch get chicken man yeah thats cheating,neither,0
watch get chicken man yeah thats cheating,neither,0
watch get chicken man ye thats cheating,neither,0
watch chicken man yeah thats cheating,neither,0
guy,neither,0
guy,neither,0
back guy,neither,0
guy,neither,0
okay,neither,0
inc absolute best without doubt best taxable game close followed blue chip detective,neither,0
inc absolute best without doubt best taxable game close followed blue chip detective,neither,0
also bear bear,neither,0
also get bear,neither,0
bear bear,neither,0
didnt like,neither,0
yeah yeah didnt like,neither,0
dont like,neither,0
didnt like,neither,0
maybe sing thought okay okay stop,neither,0
maybe sing thought ok ok stop,neither,0
maybe sing thought okay okay stop,neither,0
mistake watch,neither,0
mistake,neither,0
mistake watch feel like,neither,0
player bed fired,neither,0
supplier fired,neither,0
supplier,neither,0
supplier bed fired,neither,0
fired,neither,0
supplier bed fired,neither,0
aap europe thank,neither,0
aap europe,neither,0
watch,neither,0
watch see wi-fi,neither,0
watch trading,neither,0
watch see,neither,0
thing kill really,neither,0
thing really,neither,0
thing kill really,neither,0
correct,neither,0
thing help really,neither,0
lets play one map play every rank course,neither,0
lets play one man play every rank course,neither,0
lets play one map want play every rank course,neither,0
lets play one map apply every rank course,neither,0
humanity human race,neither,0
humanity human race together,neither,0
human race,neither,0
human race together,neither,0
manage human race,neither,0
skip corners,neither,0
corners,neither,0
skip,neither,0
make skip corners,neither,0
humans make sure humans,neither,0
humans make sure humans,neither,0
want,neither,0
concentrate humans make sure humans,neither,0
love sound,neither,0
love sound good,neither,0
love sound,neither,0
love sound,neither,0
like look,neither,0
like look different,neither,0
see like look,neither,0
guys blast like look,neither,0
hr manager,neither,0
hr manager,neither,0
ever switch someone think voice,neither,0
ever switch someone think voice thank,neither,0
ever switch someone think voice,neither,0
ever switch someone think voice thank,neither,0
ever switch someone still think voice,neither,0
bear one itni speed weird guys okay famous history shakespeare write story,neither,0
bear one itni speed weird guys okay right famous history shakespeare write story,neither,0
bear one itni speed weird guys okay written famous history shakespeare write story,neither,0
like m416 assault rifle obviously best also,neither,0
like m416 assault rifle obviously much better,neither,0
like m416 assault rifle obviously much much better best also,neither,0
oh definite right essay influence modern politics modern politics social economic grows party countries,neither,0
oh definitely right essay influence modern politics modern politics social economic grows party countries,neither,0
oh definite write essay influence modern politics modern politics social economic grows party countries,neither,0
one sign words long effects computer games young people social development swing right,neither,0
one sign effects computer games young people social development swing right,neither,0
one sign words long effects computer games swing right,neither,0
neeraj anirudas lot information,neither,0
neeraj aniruddh lot information,neither,0
neeraj anirudas information,neither,0
anirudas lot information,neither,0
applications research obviously awesome art really yeah yeah,neither,0
applications research awesome art really yeah yeah,neither,0
applications research obviously awesome art really yeah,neither,0
,neither,0
want,neither,0
,neither,0
,neither,0
cool define,neither,0
thank define,neither,0
cool,neither,0
game list facebook,neither,0
game list facebook,neither,0
game list,neither,0
bad weather issues message comes across,neither,0
bad weather issues message,neither,0
bad weather issue message comes across,neither,0
yes oh god,neither,0
yes oh god,neither,0
dont try oh god,neither,0
dont try yes oh god,neither,0
scale want space doesnt look fare game,neither,0
scale want space doesnt look fare game start,neither,0
scale want space doesnt look fare going game,neither,0
looking,neither,0
uday looking,neither,0
looking away,neither,0
uday looking away,neither,0
uda looking,neither,0
facebook,neither,0
hindi word facebook,neither,0
hindi facebook,neither,0
facebook,neither,0
think need background forget right,neither,0
definite heard somebody think need background forget right,neither,0
think need background forget,neither,0
know back guys think find map exciting,neither,0
know back guys think many ways find map exciting,neither,0
know back guys think find map exciting,neither,0
,neither,0
,neither,0
acidic side,neither,0
acid,neither,0
thank know,neither,0
thank dont know,neither,0
yeah yeah thank,neither,0
yeah yeah getting glider material,neither,0
ok finish,neither,0
reason better flying jatt,neither,0
reasons better flying jatt,neither,0
reason better flying simply,neither,0
okay really,neither,0
okay really bad,neither,0
okay,neither,0
transfer sky,neither,0
transfer sky,neither,0
river crossword sky,neither,0
speakers want send concept shooting hiding colder exact matter,neither,0
speakers want send concept shooting hiding colder exactly matter,neither,0
speakers want send concept shooting hiding colder exact matter event,neither,0
mans,neither,0
many hours,neither,0
awesome many hours,neither,0
awesome many hours,neither,0
crash,neither,0
crash,neither,0
crash,neither,0
need girlfriend,neither,0
girlfriend,neither,0
need mother girlfriend,neither,0
need umbrella girlfriend,neither,0
open get help,neither,0
open get help,neither,0
open get,neither,0
open get,neither,0
open get,neither,0
know know like maybe,neither,0
know know like maybelline,neither,0
know know like maybe,neither,0
left dust,neither,0
probably dead left dust,neither,0
probabwe dead left dust,neither,0
think going happen heard madari,neither,0
think going happenari,neither,0
heard madari,neither,0
happen heard madari,neither,0
thank thank much,neither,0
thank much,neither,0
much,neither,0
thank thank much dear,neither,0
thank much dear,neither,0
please come,neither,0
tell coming please come,neither,0
tell coming please come,neither,0
come,neither,0
hope want root,neither,0
hope want root,neither,0
bridge didnt see one bowl didnt see one car head reason,neither,0
bridge didnt see one bow didnt see one car reason,neither,0
bridge didnt see one bowl didnt see one car head reason,neither,0
bridge didnt see one bowl didnt see one car reason,neither,0
thats dead wow bro,neither,0
thats deed wow bro,neither,0
thats im dead wow bro,neither,0
,neither,0
sure,neither,0
dude serious,neither,0
dude serious everyone,neither,0
dude serious,neither,0
dude,neither,0
dude,neither,0
oh come piss stands winning waiting,offensive,1
oh come piss stands winning age waiting,offensive,1
oh come piss stands winning want reporter waiting,offensive,1
oh come piss stands winning want reporter age waiting,offensive,1
need background,neither,0
need background sleepy play,neither,0
need pack around,neither,0
need rap background,neither,0
charge,neither,0
problem charge,neither,0
problem happy,neither,0
hello hello,neither,0
hello bro,neither,0
hello bro hello,neither,0
today far happens way often different moods dont normally single game,neither,0
today far happens way often different moods dont normally game single game,neither,0
today far happens way often different moods dont normally single game single game,neither,0
learning chat spot,neither,0
im learning chat spot,neither,0
learning chat,neither,0
im learning chat,neither,0
learning chat said spot,neither,0
good evening happy new year way play bad loser workers im say good game someone head room argue guys story building,neither,0
good evening happy new year way play bad loser workers im say good game someone head room mean argue guys story building,neither,0
good evening happy new year way play bad loser workers im say good game someone head room mean argue guys,neither,0
dont spirit ok,neither,0
dont spirit,neither,0
dont period talk time,neither,0
dont spirit ok,neither,0
like went normal game,neither,0
like went normal ranked game,neither,0
like went normal problem gmail quiet game,neither,0
like normal ranked game,neither,0
baby shot runs get dmr baby wow,neither,0
baby shot runs get dmr baby wow,neither,0
baby shot runs get dmr baby oh wow,neither,0
left dust falling,neither,0
probabwe dead left dust falling,neither,0
thank thank,neither,0
ikea thank much,neither,0
please come baby,neither,0
please come,neither,0
hope want root play baby,neither,0
hope want root bridge,neither,0
password jump bridge,neither,0
password die,neither,0
passwords die,neither,0
password die,neither,0
bridge didnt see one bowl didnt see one car reason movie,neither,0
bridge didnt see one bowl didnt see one car,neither,0
bridge didnt see one bowl didnt see one car reason,neither,0
bridge didnt see one bowl didnt see one car reason movie,neither,0
thats dead wow broful,neither,0
thats deed wow broful,neither,0
thats im dead wow broful,neither,0
thats dead wow broful building,neither,0
chat,neither,0
oh come,neither,0
oh come mecca,neither,0
guy oh come,neither,0
guy oh come mecca,neither,0
oh come piss star,neither,0
problem charger,neither,0
start,neither,0
hello hello hello hello,neither,0
today far happens way often different moods dont normally game,neither,0
today far happens way often different moods dont normally find someone game,neither,0
learning chat like said,neither,0
im learning chat like said,neither,0
learning chat spot,neither,0
good evening happy new year way play bad loser workers im say good game someone head room mean tell argue guys came die hate building,neither,0
good evening happy new year way play bad loser workers im say good game someone head room mean tell argue guys came never say ji die hate building,neither,0
good evening happy new year way play bad loser workers im say good game someone room mean tell argue guys came die hate building,neither,0
talk time something,neither,0
talk something,neither,0
time something,neither,0
right baby,neither,0
right baby quiet,neither,0
first words right baby,neither,0
knew didnt want drop hot want disturb,neither,0
knew didnt want drop hot want disturb,neither,0
knew didnt want drop hot want disturb,neither,0
new didnt want drop hot want disturb,neither,0
remember,neither,0
remember kiran,neither,0
remember,neither,0
oh,neither,0
babu said two game redemption games,neither,0
babu said two gamer redemption,neither,0
babu said two game redemption game,neither,0
mediocre maps maps media,neither,0
media maps maps media,neither,0
medias maps media,neither,0
mediocre maps maps media want play anymore,neither,0
hello jaan,neither,0
hear need,neither,0
video need,neither,0
hear,neither,0
video,neither,0
next grace,neither,0
next grace,neither,0
next greece,neither,0
cyprus next grace,neither,0
whats fun game trying points kill someone thats fun die win nose rank important weather someone,neither,0
